,logFC,AveExpr,t,P.Value,adj.P.Val,B
KRT15,2.38277694186409,10.6773065651216,116.231997033054,0.0,0.0,5252.38584716263
KRT10,-2.30163688535698,11.5202880128294,-140.589344405438,0.0,0.0,7033.78151781999
KRT1,-2.2817388427547,11.0678415532686,-134.015720808522,0.0,0.0,6548.76939243505
CXCL14,2.23143731220382,10.2604292577589,118.193390270072,0.0,0.0,5393.65982499558
KRT14,2.16732807940911,12.3666854818076,103.643843401539,0.0,0.0,4361.1651586247
DST,1.71226120657637,9.48425653061682,102.465298195627,0.0,0.0,4280.14219421426
DMKN,-1.64060489795195,10.7514657916319,-109.351472107095,0.0,0.0,4764.51546249391
KRT5,1.63632848888697,10.8890439377144,83.3989342543582,0.0,0.0,3011.01913193304
FABP5,-1.62102774183312,9.87239850598036,-71.9126766042323,0.0,0.0,2312.26787069676
COL17A1,1.56572976046337,8.37326923467203,113.90505025123,0.0,0.0,5096.48735290065
KRTDAP,-1.54392316578189,9.19597987417094,-77.3057161008538,0.0,0.0,2633.0035208526
S100A2,1.45378948608841,9.41206178131132,82.0896603631446,0.0,0.0,2928.50755478364
CALML5,-1.04547815389188,8.19667246759667,-64.8655503293766,0.0,0.0,1915.68699186086
POSTN,1.04328002795638,7.79530760466414,70.7132768407953,0.0,0.0,2244.13707864639
SBSN,-1.04327183904413,7.83472730299099,-68.1088872170794,0.0,0.0,2095.19321691101
FTH1,1.03409048435827,10.527983318313,79.184762423829,0.0,0.0,2751.32677053846
CYR61,1.00626853902437,8.54358687750957,50.7295139223914,0.0,0.0,1207.66655943121
LYPD3,-0.911636125807044,8.29959011526737,-59.8964716776294,0.0,0.0,1653.47480035757
RHOV,-0.818709665580655,7.77069602717739,-64.9302267225707,0.0,0.0,1920.55324794186
ASS1,0.818597443110882,7.45635183609393,66.3025155969111,0.0,0.0,1995.92727854048
FABP7,-0.815404812265924,8.77321737743987,-40.5774147048538,0.0,0.0,784.93563629746
SYT8,0.796075524074575,7.78131220890426,50.6447124037815,0.0,0.0,1203.8551268766
CAV1,0.788556130296287,8.3474552777745,52.0154323208481,0.0,0.0,1267.37891812023
CCND1,-0.759499960140884,8.107372722569,-49.1813394766014,0.0,0.0,1138.60083304049
TXNIP,0.752171869426858,8.77416459291637,42.8942663395609,0.0,0.0,874.492771903611
TGFBI,0.738490215763665,7.35807931089439,61.4797779756223,0.0,0.0,1735.84484337383
CRABP2,-0.704834734148323,7.91052705999204,-45.0006693580548,0.0,0.0,959.616861877912
LIMA1,0.698296951459979,8.38918286906072,47.8317012349823,0.0,0.0,1079.70585262149
HOPX,0.685953612752335,9.0341351461607,44.6462948965481,0.0,0.0,945.422812132599
ATP1B3,0.67076135625347,9.32987324446345,49.8584861284586,0.0,0.0,1169.05555294119
CLDN4,-0.667428778147034,7.66946381898908,-39.0576061424692,1.2e-322,1.2366e-320,728.517262721986
S100A6,0.651399968073682,8.12813225952963,36.8429751129967,2.27105904848707e-288,1.95795570766899e-286,649.675981871648
FAM213A,0.629933658653032,8.6502488187459,40.5279896544509,0.0,0.0,783.370921936634
GLTP,-0.624713940483959,7.9562549820886,-45.2991975672392,0.0,0.0,972.322908227699
S100A10,0.622831502192441,9.5622691640566,45.5606720197469,0.0,0.0,983.186838903186
ITGB1,0.62055794034833,7.93333879543539,46.309745800934,0.0,0.0,1014.59604093698
IGFBP5,0.618415405121803,7.86042497005406,34.4128997092158,8.41283340459991e-253,6.11206525776888e-251,567.860925125194
DSP,-0.618402701422008,10.6846697961096,-48.1769498820975,0.0,0.0,1094.71429610372
FOS,0.615307876171233,11.3423844664726,33.7196598042939,4.7208026911782e-243,3.11476634705697e-241,545.437743938012
FTL,0.611901369923404,10.3366229473548,48.4548047679724,0.0,0.0,1106.85653729184
ANXA1,0.609900325835086,10.021676413026,38.5327165465217,2.1849350675e-314,2.077616198045e-312,709.524519117026
SPARC,0.590129876823151,7.39105247505712,53.0305846123122,0.0,0.0,1314.78225524185
JUN,0.584185427224547,11.0167653192398,32.4693398766389,6.38074368551875e-226,3.65114059031542e-224,506.03821308806
PDLIM1,0.583647192767254,8.32132646155372,40.1789892842871,0.0,0.0,770.254889602143
EDN1,0.575810027574982,7.94290291796935,31.4495333811646,2.20078389336542e-212,1.14760231084684e-210,474.904639219902
EMP2,-0.569082980204553,8.38224421484688,-39.4600100561299,0.0,0.0,743.543993657153
LY6D,-0.568951992682659,10.5467236417344,-32.3301754114493,4.73542951717292e-224,2.63959372914139e-222,501.736413749473
IFITM3,0.568157989510361,8.09459601317447,38.1780533320629,6.3215806703243e-309,5.75709022736858e-307,696.960585454399
PTRF,0.56426158967599,8.22689699026512,38.7751236964826,2.767914e-318,2.79645795e-316,718.48972970456
IGFBP3,0.560600361038386,7.30836701151019,39.8814280956993,0.0,0.0,758.868061196985
KRT13,-0.556955302541368,8.04883167805771,-22.9911404582918,1.33096263286334e-115,3.19925813535106e-114,252.413443978557
BGN,0.535485498025104,7.19524764777543,51.3959307069643,0.0,0.0,1238.80308974635
ZFP36L2,0.535384772164139,8.66983012832243,33.2004444689481,6.79414997961744e-236,4.22413209309677e-234,528.974191947899
ATF3,0.531455992503794,8.58038670471251,29.4714015682729,2.98104324920222e-187,1.32023463351654e-185,417.112995096124
