	U_mannWhitney	p	comonLangEffectSize	differenceOfMedian	zScore	rankBiserialCorrelation	p_adj	reject
KLF5_HUMAN.H11MO.0.A ,KLF5	284834.0	8.425542064793437e-156	0.9661153773098526	0.0011502505	26.591981425677957	0.9322307546197053	2.645620208345139e-153	True
ITF2_HUMAN.H11MO.0.C ,TCF4	283628.0	4.095513070849429e-153	0.9620248012373483	0.00055944335	26.358613190611027	0.9240496024746968	6.429955521233603e-151	True
TFAP2C_MA0524.1 ,TFAP2C	283456.0	9.84486950226231e-153	0.9614414023281687	0.00059728525	26.325330158744105	0.9228828046563373	1.0304296745701219e-150	True
TFAP2A_MA0003.1 ,TFAP2A	282422.0	1.5131414355880677e-150	0.957934225164844	0.000452987755	26.125244955544098	0.9158684503296882	1.1878160269366331e-148	True
TFAP2A_MA0003.2 ,TFAP2A	281193.5	9.132638698818045e-148	0.9537113667815375	0.0005183398499999999	25.887919700019545	0.9075346647491385	5.735297102857732e-146	True
Klf4_MA0039.2 ,KLF4	280712.0	1.0284489768281877e-146	0.9521341546142783	0.0006924209499999999	25.79434969686711	0.9042683092285567	5.382216312067516e-145	True
KLF5_MA0599.1 ,KLF5	280514.0	2.7649282964472537e-146	0.951462567497897	0.0008877806500000001	25.7560355090203	0.9029251349957941	1.2402678358349111e-144	True
SOX7_full_3 ,SOX7	14403.0	4.398698312414835e-146	0.04884948308143163	-0.00041969950000000006	-25.738039692231332	-0.9022942501288904	1.7264890876228226e-144	True
KLF16_HUMAN.H11MO.0.D ,KLF16	280138.0	1.8017051901201605e-145	0.9501872303475972	0.00212041185	25.683277253311207	0.9003744606951944	6.285949218863671e-144	True
HOXC11_DBD_2 ,HOXC11	14796.5	3.122088889963977e-145	0.050165522481209125	-0.0005445559500000001	-25.661898266463375	-0.899624860933981	9.803359114486888e-144	True
GKLF_M01588 ,KLF4	279709.5	1.5147677721197895e-144	0.948732124928771	0.0006822626499999999	25.600373184319363	0.8974676417116653	4.32397345859649e-143	True
KLF4_HUMAN.H11MO.0.A ,KLF4	279576.5	2.929985705647997e-144	0.9482674409139011	0.0006233316	25.574628786320087	0.8965654085149106	7.666795929778926e-143	True
TFAP2A_DBD_1 ,TFAP2A	279433.5	5.195881671445344e-144	0.9476602990258595	0.000305449525	25.552253168305725	0.8955953382356932	1.2550052652567984e-142	True
TFAP2A(var.2)_MA0810.1 ,TFAP2A	279339.5	8.275422226140283e-144	0.9473414647382845	0.00030741176500000003	25.534059830115954	0.8949576696605432	1.8560589850057493e-142	True
SOX7_full_1 ,SOX7	15632.0	1.964960357708823e-143	0.0530112880905218	-0.00039620285	-25.500221832325757	-0.8939570726942175	4.113317015470469e-142	True
POU2F3_DBD_2 ,POU2F3	15678.0	2.4662721974075384e-143	0.05315713781781673	-0.00051495595	-25.49132276507911	-0.8936450221148888	4.840059187412294e-142	True
TFAP2A_DBD_3 ,TFAP2A	279056.0	2.867185789452805e-143	0.9463408677719589	0.00026426943	25.48542235401522	0.893034488372724	5.295860811106945e-142	True
SP1_MA0079.2 ,SP1	279047.0	4.02155231578319e-143	0.9464867174992538	0.0011897204000000002	25.472162208155304	0.8929734349985076	7.015374595310676e-142	True
HOXC13_DBD_1 ,HOXC13	15985.5	1.1247633963061664e-142	0.054218788158358885	-0.0004823333000000001	-25.43181638601918	-0.8915590318291591	1.8588195075796644e-141	True
CKROX_M01175 ,ZBTB7B	278800.0	1.358821079850776e-142	0.9456489295308388	0.0009110070000000002	25.424366226346404	0.8912978590616775	2.1333490953657183e-141	True
