Library_id,description,sample id
CNhs11051,"Adipocyte - breast, donor1",11376
CNhs11969,"Adipocyte - breast, donor2",11327
CNhs11054,"Adipocyte - omental, donor1",11473
CNhs12067,"Adipocyte - omental, donor2",11474
CNhs12068,"Adipocyte - omental, donor3",11475
CNhs12069,"Adipocyte - perirenal, donor1",11476
CNhs12494,"Adipocyte - subcutaneous, donor1",11259
CNhs11371,"Adipocyte - subcutaneous, donor2",11336
CNhs12017,"Adipocyte - subcutaneous, donor3",11408
CNhs11325,"Alveolar Epithelial Cells, donor1",11510
CNhs12084,"Alveolar Epithelial Cells, donor2",11590
CNhs11341,"Amniotic Epithelial Cells, donor1",11533
CNhs12125,"Amniotic Epithelial Cells, donor3",11694
CNhs12502,"amniotic membrane cells, donor1",12235
CNhs12503,"amniotic membrane cells, donor2",12236
CNhs12379,"amniotic membrane cells, donor3",12237
CNhs10876,"Annulus Pulposus Cell, donor1",11248
CNhs12064,"Annulus Pulposus Cell, donor2",11463
CNhs13339,"Aortic smooth muscle cell response to FGF2, 00hr00min, biol_rep1 (LK1)",12642
CNhs13358,"Aortic smooth muscle cell response to FGF2, 00hr00min, biol_rep2 (LK2)",12740
CNhs13349,"Aortic smooth muscle cell response to IL1b, 00hr00min, biol_rep1 (LK31)",12652
CNhs13369,"Aortic smooth muscle cell response to IL1b, 00hr00min, biol_rep2 (LK32)",12750
CNhs11321,"Astrocyte - cerebellum, donor1",11500
CNhs12081,"Astrocyte - cerebellum, donor2",11580
CNhs12117,"Astrocyte - cerebellum, donor3",11661
CNhs10864,"Astrocyte - cerebral cortex, donor1",11235
CNhs11960,"Astrocyte - cerebral cortex, donor2",11316
CNhs12005,"Astrocyte - cerebral cortex, donor3",11392
CNhs12546,"Basophils, donor1",12241
CNhs12563,"Basophils, donor2",12242
CNhs12575,"Basophils, donor3",12243
CNhs12054,"Bronchial Epithelial Cell, donor4",11453
CNhs12058,"Bronchial Epithelial Cell, donor5",11457
CNhs12062,"Bronchial Epithelial Cell, donor6",11461
CNhs12341,"Cardiac Myocyte, donor1",11525
CNhs12350,"Cardiac Myocyte, donor2",11605
CNhs12571,"Cardiac Myocyte, donor3",11686
CNhs12552,"CD133+ stem cells - adult bone marrow derived, pool1",12224
CNhs10858,"CD14+ monocyte derived endothelial progenitor cells, donor1",11229
CNhs11897,"CD14+ monocyte derived endothelial progenitor cells, donor2",11310
CNhs11904,"CD14+ monocyte derived endothelial progenitor cells, donor3",11386
