motifHeader	symbol_scRNAseq	origin
HOXA3_M00395	HOXA3	TRANSFAC
CEBPG_M00622	CEBPG	TRANSFAC
GLI1_M01042	GLI1	TRANSFAC
GFI1B_M01058	-	TRANSFAC
BLIMP1_M01066	PRDM1	TRANSFAC
GFI1_M01067	-	TRANSFAC
UF1H3BETA_M01068	-	TRANSFAC
GZF1_M01069	GZF1	TRANSFAC
CMAF_M01070	-	TRANSFAC
HIC1_M01072	HIC1	TRANSFAC
HIC1_M01073	HIC1	TRANSFAC
PLZF_M01075	ZBTB16	TRANSFAC
CETS1P54_M01078	-	TRANSFAC
CBF_M01079	CEBPZ	TRANSFAC
CBF_M01080	CEBPZ	TRANSFAC
ZEC_M01081	ZNF628	TRANSFAC
BRCA_M01082	-	TRANSFAC
LRF_M01100	-	TRANSFAC
MOVOB_M01104	-	TRANSFAC
ZBRK1_M01105	ZNF350	TRANSFAC
RUSH1A_M01107	-	TRANSFAC
HOXA7_M01108	HOXA7	TRANSFAC
SZF11_M01109	-	TRANSFAC
RBPJK_M01111	RBPJ	TRANSFAC
RBPJK_M01112	RBPJ	TRANSFAC
CACD_M01113	-	TRANSFAC
CLOCKBMAL_M01116	-	TRANSFAC
OTX_M01117	-	TRANSFAC
WT1_M01118	-	TRANSFAC
KAISO_M01119	-	TRANSFAC
ZNF219_M01122	ZNF219	TRANSFAC
NANOG_M01123	NANOG	TRANSFAC
OCT4_M01124	POU5F1	TRANSFAC
OCT4_M01125	POU5F1	TRANSFAC
ISL1_M01127	ISL1	TRANSFAC
SOX10_M01131	SOX10	TRANSFAC
SF1_M01132	SF1	TRANSFAC
FOXO3A_M01137	FOXO3	TRANSFAC
RORA_M01138	RORA	TRANSFAC
CMYC_M01145	-	TRANSFAC
DMRT1_M01146	-	TRANSFAC
DMRT2_M01147	DMRT2	TRANSFAC
DMRT3_M01148	-	TRANSFAC
DMRT4_M01149	DMRTA1	TRANSFAC
DMRT5_M01150	-	TRANSFAC
DMRT7_M01151	-	TRANSFAC
CMYC_M01154	-	TRANSFAC
KID3_M01160	ZNF354C	TRANSFAC
OG2_M01162	-	TRANSFAC
ELK1_M01163	ELK1	TRANSFAC
ELK1_M01165	ELK1	TRANSFAC
SAP1A_M01167	-	TRANSFAC
SREBP_M01168	-	TRANSFAC
IK_M01169	-	TRANSFAC
BCL6_M01171	BCL6	TRANSFAC
PU1_M01172	-	TRANSFAC
SREBP1_M01173	SREBF1	TRANSFAC
CKROX_M01175	ZBTB7B	TRANSFAC
SREBP2_M01177	SREBF2	TRANSFAC
NKX32_M01181	-	TRANSFAC
MIZF_M01182	HINFP	TRANSFAC
BCL6_M01183	BCL6	TRANSFAC
BCL6_M01185	BCL6	TRANSFAC
TBX22_M01195	-	TRANSFAC
CTF1_M01196	-	TRANSFAC
ELF5_M01197	ELF5	TRANSFAC
RXRLXRB_M01198	-	TRANSFAC
RNF96_M01199	-	TRANSFAC
CTCF_M01200	CTCF	TRANSFAC
AR_M01201	AR	TRANSFAC
VDRRXR_M01202	-	TRANSFAC
SPI1_M01203	SPI1	TRANSFAC
SPIB_M01204	SPIB	TRANSFAC
ETS2_M01207	ETS2	TRANSFAC
FLI1_M01208	FLI1	TRANSFAC
GAF_M01209	-	TRANSFAC
PARP_M01211	-	TRANSFAC
STAT1_M01212	STAT1	TRANSFAC
ESE1_M01214	-	TRANSFAC
FOXO1_M01216	FOXO1	TRANSFAC
NUR77_M01217	NR4A1	TRANSFAC
SP1SP3_M01219	-	TRANSFAC
STAT3_M01220	STAT3	TRANSFAC
P50P50_M01223	-	TRANSFAC
P50RELAP65_M01224	-	TRANSFAC
MAFB_M01227	MAFB	TRANSFAC
CMAF_M01228	-	TRANSFAC
GTF2IRD1_M01229	GTF2IRD1	TRANSFAC
ZNF333_M01230	ZNF333	TRANSFAC
ZNF515_M01231	GLIS3	TRANSFAC
SATB1_M01232	SATB1	TRANSFAC
IPF1_M01233	-	TRANSFAC
IPF1_M01234	-	TRANSFAC
IPF1_M01235	-	TRANSFAC
IPF1_M01236	-	TRANSFAC
TRF1_M01237	TERF1	TRANSFAC
RELBP52_M01239	-	TRANSFAC
BEN_M01240	GTF2IRD1	TRANSFAC
BEN_M01241	GTF2IRD1	TRANSFAC
MTF1_M01242	MTF1	TRANSFAC
MTF1_M01243	MTF1	TRANSFAC
HSF2_M01244	HSF2	TRANSFAC
MTERF_M01245	-	TRANSFAC
NANOG_M01247	NANOG	TRANSFAC
DAX1_M01248	NR0B1	TRANSFAC
HIF2A_M01249	EPAS1	TRANSFAC
E2F1_M01250	E2F1	TRANSFAC
E2F1_M01251	E2F1	TRANSFAC
E2F6_M01252	E2F6	TRANSFAC
CNOT3_M01253	-	TRANSFAC
IPF1_M01255	-	TRANSFAC
REST_M01256	REST	TRANSFAC
SRF_M01257	SRF	TRANSFAC
GADP_M01258	-	TRANSFAC
CTCF_M01259	CTCF	TRANSFAC
STAT1_M01260	STAT1	TRANSFAC
HNF3A_M01261	FOXA1	TRANSFAC
TBX18_M01262	TBX18	TRANSFAC
TBX15_M01263	-	TRANSFAC
TBX15_M01264	-	TRANSFAC
ELF1_M01266	ELF1	TRANSFAC
FRA1_M01267	FOSL1	TRANSFAC
NURR1_M01269	NR4A2	TRANSFAC
SOX2_M01272	SOX2	TRANSFAC
SP4_M01273	SP4	TRANSFAC
IPF1_M01275	-	TRANSFAC
IRF3_M01279	IRF3	TRANSFAC
NFAT1_M01281	NFATC2	TRANSFAC
SOX9_M01284	SOX9	TRANSFAC
SOX_M01286	-	TRANSFAC
NEUROD_M01287	-	TRANSFAC
NEUROD_M01288	-	TRANSFAC
HOXA13_M01292	-	TRANSFAC
PROP1_M01294	-	TRANSFAC
ATF5_M01295	ATF5	TRANSFAC
HOXA13_M01297	-	TRANSFAC
MECP2_M01298	MECP2	TRANSFAC
MECP2_M01299	MECP2	TRANSFAC
HMGA2_M01300	HMGA2	TRANSFAC
MEF2A_M01301	MEF2A	TRANSFAC
MYF_M01302	-	TRANSFAC
SP1_M01303	SP1	TRANSFAC
SRF_M01304	SRF	TRANSFAC
TEF_M01305	TEF	TRANSFAC
ZABC1_M01306	ZNF217	TRANSFAC
POU5F1_M01307	POU5F1	TRANSFAC
SOX4_M01308	SOX4	TRANSFAC
NKX21_M01312	-	TRANSFAC
SIX1_M01313	-	TRANSFAC
LHX61_M01314	-	TRANSFAC
NKX52_M01315	-	TRANSFAC
TST1_M01316	-	TRANSFAC
HOXC13_M01317	HOXC13	TRANSFAC
IRX3_M01318	IRX3	TRANSFAC
HOXB5_M01319	HOXB5	TRANSFAC
PROP1_M01320	-	TRANSFAC
HOXC8_M01321	HOXC8	TRANSFAC
NKX26_M01322	-	TRANSFAC
OTP_M01323	-	TRANSFAC
OCTAMER_M01324	-	TRANSFAC
LHX2_M01325	LHX2	TRANSFAC
GSH2_M01326	-	TRANSFAC
VAX2_M01327	VAX2	TRANSFAC
ISL2_M01328	ISL2	TRANSFAC
HOXC11_M01329	HOXC11	TRANSFAC
HOXB3_M01330	HOXB3	TRANSFAC
ISX_M01331	-	TRANSFAC
BARHL1_M01332	-	TRANSFAC
HDX_M01333	HDX	TRANSFAC
NKX11_M01334	-	TRANSFAC
VSX1_M01335	-	TRANSFAC
HOXA7_M01336	HOXA7	TRANSFAC
HOXA3_M01337	HOXA3	TRANSFAC
HOXD3_M01338	HOXD3	TRANSFAC
PAX7_M01339	-	TRANSFAC
BARX1_M01340	BARX1	TRANSFAC
MSX3_M01341	-	TRANSFAC
CDP_M01342	-	TRANSFAC
PITX3_M01343	PITX3	TRANSFAC
CDP_M01344	-	TRANSFAC
SIX6_M01345	-	TRANSFAC
TGIF_M01346	-	TRANSFAC
RHOX11_M01347	-	TRANSFAC
K2B_M01348	-	TRANSFAC
HB9_M01349	MNX1	TRANSFAC
NKX24_M01350	-	TRANSFAC
HOXA9_M01351	HOXA9	TRANSFAC
NKX29_M01352	-	TRANSFAC
LHX5_M01353	LHX5	TRANSFAC
OCT1_M01354	-	TRANSFAC
ALX3_M01355	ALX3	TRANSFAC
PMX2B_M01356	-	TRANSFAC
PBX1_M01357	PBX1	TRANSFAC
SIX3_M01358	-	TRANSFAC
DOBOX4_M01359	-	TRANSFAC
DBX2_M01360	DBX2	TRANSFAC
HOXC10_M01361	HOXC10	TRANSFAC
CART1_M01362	-	TRANSFAC
LMX1B_M01363	LMX1B	TRANSFAC
OBOX2_M01364	-	TRANSFAC
EN1_M01365	EN1	TRANSFAC
OTX1_M01366	OTX1	TRANSFAC
LHX9_M01367	-	TRANSFAC
OCT2_M01368	-	TRANSFAC
HOXC4_M01369	HOXC4	TRANSFAC
HOXA4_M01370	HOXA4	TRANSFAC
GBX1_M01371	-	TRANSFAC
NKX22_M01372	-	TRANSFAC
CDX1_M01373	-	TRANSFAC
SIX4_M01374	SIX4	TRANSFAC
HOXD10_M01375	-	TRANSFAC
S8_M01376	-	TRANSFAC
IRXB3_M01377	IRX6	TRANSFAC
HOXA11_M01378	HOXA11	TRANSFAC
HNF1_M01379	HNF1A	TRANSFAC
HOXD12_M01380	-	TRANSFAC
OBOX5_M01381	-	TRANSFAC
GBX2_M01382	GBX2	TRANSFAC
NKX3A_M01383	NKX3-1	TRANSFAC
RHOX11_M01384	-	TRANSFAC
PAX4_M01385	-	TRANSFAC
EVX2_M01386	-	TRANSFAC
OTX2_M01387	-	TRANSFAC
DLX5_M01388	DLX5	TRANSFAC
RAX_M01389	-	TRANSFAC
DUXL_M01390	-	TRANSFAC
PAX6_M01391	PAX6	TRANSFAC
HOXA6_M01392	HOXA6	TRANSFAC
MSX2_M01393	MSX2	TRANSFAC
