motifHeader	symbol_scRNAseq	rank	KLDiv_sum	origin
ATF2_HUMAN.H11MO.1.B	ATF2	1	13.051727	Hocomoco
ATF2_HUMAN.H11MO.2.C	ATF2	2	11.757313	Hocomoco
ATF2_HUMAN.H11MO.0.B	ATF2	3	7.385969	Hocomoco
ATF2_M01862	ATF2	4	6.516713	TRANSFAC
Atf3_MA0605.1	ATF3	1	7.966683	JASPAR
ATF3_M01863	ATF3	2	6.860895	TRANSFAC
ATF3_HUMAN.H11MO.0.A	ATF3	3	6.293790	Hocomoco
Atf4_DBD	ATF4	1	11.346884	Jolma2013
ATF4_HUMAN.H11MO.0.A	ATF4	2	10.365572	Hocomoco
ATF4_DBD	ATF4	3	9.904547	Jolma2013
ATF4_MA0833.1	ATF4	4	9.904547	JASPAR
ATF4_M01864	ATF4	5	7.413968	TRANSFAC
ATF5_M01295	ATF5	1	10.198950	TRANSFAC
ATF7_DBD	ATF7	1	10.225344	Jolma2013
ATF7_MA0834.1	ATF7	2	10.225344	JASPAR
ATF7_HUMAN.H11MO.0.D	ATF7	3	8.139747	Hocomoco
BARX2_M01431	BARX2	1	7.923594	TRANSFAC
BARX2_HUMAN.H11MO.0.D	BARX2	2	7.664700	Hocomoco
BATF::JUN_MA0462.1	BATF,JUN	1	9.583722	JASPAR
CEBPG_DBD	CEBPG	1	10.228183	Jolma2013
CEBPG_MA0838.1	CEBPG	2	10.228183	JASPAR
CEBPG_full	CEBPG	3	10.033093	Jolma2013
CEBPG_HUMAN.H11MO.0.B	CEBPG	4	9.625332	Hocomoco
CEBPG_M00622	CEBPG	5	8.934582	TRANSFAC
CEBPG_M01869	CEBPG	6	6.845243	TRANSFAC
CREB5_HUMAN.H11MO.0.D	CREB5	1	11.449011	Hocomoco
Creb5_DBD	CREB5	2	11.361265	Jolma2013
Creb5_MA0840.1	CREB5	3	11.361265	JASPAR
DLX3_M01400	DLX3	1	8.270087	TRANSFAC
DLX3_HUMAN.H11MO.0.C	DLX3	2	7.942672	Hocomoco
DLX3_DBD	DLX3	3	5.039671	Jolma2013
Dlx3_MA0880.1	DLX3	4	5.039671	JASPAR
E2F1_MA0024.1	E2F1	1	9.518220	JASPAR
E2F1_DBD_4	E2F1	2	9.323429	Jolma2013
E2F1_DBD_1	E2F1	3	8.390691	Jolma2013
E2F1_MA0024.2	E2F1	4	8.079748	JASPAR
E2F1_DBD_2	E2F1	5	7.634350	Jolma2013
E2F1_MA0024.3	E2F1	6	7.634350	JASPAR
E2F1_DBD_3	E2F1	7	7.558799	Jolma2013
