Gene_Symbol	entrez_ID
AFF4	27125
AFF2	2334
AFF1	4299
AFF3	3899
TFAP2D	83741
TFAP2C	7022
TFAP2B	7021
TFAP2E	339488
TFAP2A	7020
ARID3A	1820
ARID5B	84159
ARID1A	8289
ARID2	196528
JARID2	3720
ARID3B	10620
ARID4A	5926
ARID5A	10865
ARID4B	51742
ARID1B	57492
KDM5B	10765
KDM5C	8242
ARID3C	138715
KDM5A	5927
KDM5D	8284
MNT	4335
TFAP4	7023
MYF6	4618
MYF5	4617
HAND1	9421
HES1	3280
ID2	3398
MYOG	4656
AHR	196
TWIST1	7291
NEUROG3	50674
BHLHE41	79365
NEUROD4	58158
TCF15	6939
MLX	6945
MYOD1	4654
BHLHE40	8553
MXD1	4084
LYL1	4066
TFEC	22797
ARNTL2	56938
ASCL1	429
HES6	55502
FERD3L	222894
MYCN	4613
MSGN1	343930
NEUROD1	4760
TCF23	150921
NEUROD6	63974
MESP1	55897
NHLH1	4807
ATOH1	474
ATOH8	84913
NEUROD2	4761
ARNT2	9915
CLOCK	9575
MLXIP	22877
TFE3	7030
NEUROG2	63973
NEUROG1	4762
BHLHE22	27319
MLXIPL	51085
MSC	9242
NHLH2	4808
MXI1	4601
ASCL2	430
FIGLA	344018
TCFL5	10732
TAL2	6887
MXD4	10608
HEY1	23462
MESP2	145873
SCX	642658
HELT	391723
TFEB	7942
ASCL4	121549
SREBF1	6720
ARNT	405
MAX	4149
HAND2	9464
SREBF2	6721
OLIG3	167826
TCF21	6943
USF1	7391
HEY2	23493
SIM1	6492
BHLHE23	128408
TAL1	6886
HEYL	26508
ATOH7	220202
ID3	3399
ID1	3397
PTF1A	256297
HES2	54626
HES3	390992
MYC	4609
HES5	388585
ID4	3400
OLIG1	116448
OLIG2	10215
BHLHA9	727857
TCF3	6929
MYCL	4610
TCF4	6925
ARNTL	406
TCF12	6938
MXD3	83463
MITF	4286
HES4	57801
SOHLH1	402381
TWIST2	117581
USF3	205717
CCDC169-SOHLH2	100526761
ASCL3	56676
NPAS2	4862
HES7	84667
SOHLH2	54937
TCF24	100129654
ASCL5	647219
USF2	7392
BHLHA15	168620
CBFB	865
CEBPE	1053
CEBPG	1054
CEBPB	1051
CEBPD	1052
CEBPA	1050
CAMTA1	23261
CAMTA2	23125
EBF1	1879
EBF4	57593
EBF3	253738
EBF2	64641
GRHL2	79977
TFCP2	7024
TFCP2L1	29842
UBP1	7342
GRHL3	57822
GRHL1	29841
YBX2	51087
YBX3	8531
CSDC2	27254
LIN28B	389421
LIN28A	79727
CARHSP1	23589
YBX1	4904
CSDE1	7812
RBPJL	11317
RBPJ	3516
NFIA	4774
NFIB	4781
NFIC	4782
NFIX	4784
CUX2	23316
ONECUT1	3175
CUX1	1523
ONECUT3	390874
SATB1	6304
SATB2	23314
ONECUT2	9480
DMRT3	58524
DMRTA1	63951
DMRT2	10655
DMRTB1	63948
DMRT1	1761
DMRTA2	63950
DMRTC2	63946
E2F5	1875
E2F3	1871
E2F7	144455
E2F1	1869
E2F2	1870
TFDP1	7027
E2F4	1874
E2F6	1876
TFDP3	51270
TFDP2	7029
E2F8	79733
ESRRA	2101
PGR	5241
ESR1	2099
ESR2	2100
ESRRG	2104
AR	367
NR3C2	4306
NR3C1	2908
ESRRB	2103
ERF	2077
SPI1	6688
ELK3	2004
ELF1	1997
ELK1	2002
FEV	54738
ELF5	2001
ETV4	2118
ELF4	2000
ETV7	51513
GABPA	2551
ELK4	2005
ELF3	1999
ETS2	2114
ETV3	2117
SPDEF	25803
ETV2	2116
ELF2	1998
ETS1	2113
ETV6	2120
ETV1	2115
ERG	2078
ETV3L	440695
FLI1	2313
EHF	26298
ETV5	2119
SPIC	121599
SPIB	6689
FOXJ2	55810
FOXA1	3169
FOXF2	2295
FOXF1	2294
FOXQ1	94234
FOXN4	121643
FOXD4L1	200350
FOXA3	3171
FOXI1	2299
FOXP4	116113
FOXR1	283150
FOXJ1	2302
FOXL1	2300
FOXC2	2303
FOXK1	221937
FOXL2	668
FOXE3	2301
FOXD2	2306
FOXK2	3607
FOXO3	2309
FOXD4L3	286380
FOXM1	2305
FOXN3	1112
FOXN2	3344
FOXD3	27022
FOXJ3	22887
FOXO6	100132074
FOXO4	4303
FOXE1	2304
FOXS1	2307
FOXB2	442425
FOXH1	8928
FOXD4L4	349334
FOXD4L5	653427
FOXD4L6	653404
FOXO1	2308
FOXC1	2296
FOXD4	2298
FOXG1	2290
FOXI2	399823
FOXB1	27023
FOXP2	93986
FOXA2	3170
FOXP1	27086
FOXR2	139628
FOXP3	50943
FOXN1	8456
FOXD1	2297
GCM1	8521
GCM2	9247
NR6A1	2649
GTF2IRD2B	389524
GTF2I	2969
GTF2IRD2	84163
GTF2IRD1	9569
HMGXB4	10042
TOX3	27324
SOX4	6659
SOX9	6662
SOX30	11063
LEF1	51176
SSRP1	6749
TCF7L1	83439
SOX8	30812
PBRM1	55193
HMGB2	3148
SOX17	64321
UBTF	7343
SOX14	8403
BBX	56987
SOX11	6664
SMARCE1	6605
HMG20B	10362
SOX1	6656
HMG20A	10363
SOX18	54345
TOX2	84969
TCF7L2	6934
WDHD1	11169
TOX	9760
SOX13	9580
HMGB3	3149
SOX3	6658
SOX21	11166
SRY	6736
TCF7	6932
SOX10	6663
HMGB1	3146
TOX4	9878
SOX5	6660
BHMG1	388553
PMS1	5378
HBP1	26959
TFAM	7019
HMGXB3	22993
NSD2	7468
HMGB4	127540
SOX6	55553
SOX2	6657
SOX15	6665
SOX12	6666
SOX7	83595
CIC	23152
HMGA1	3159
HMGA2	8091
HOXA11	3207
HOXC8	3224
GSC2	2928
SIX4	51804
RHOXF1	158800
DLX5	1749
HOXA2	3199
HOXA5	3202
HOXA6	3203
HOXA13	3209
HNF1B	6928
PHOX2B	8929
DBX1	120237
NANOG	79923
ISL1	3670
IRX4	50805
CDX1	1044
TLX2	3196
DLX2	1746
VAX2	25806
GSC	145258
HOXB8	3218
HOXB5	3215
HOXB7	3217
MSX2	4488
PRRX1	5396
DLX4	1748
HOXA7	3204
HOXC13	3229
HOXC12	3228
HOXC6	3223
SIX1	6495
HOXD9	3235
HOXD10	3236
HOXD11	3237
PBX4	80714
CERS4	79603
MNX1	3110
BARX1	56033
LHX1	3975
EMX1	2016
NKX2-8	26257
SIX3	6496
LHX5	64211
VSX2	338917
MEOX2	4223
BARHL1	56751
LHX4	89884
PITX1	5307
ZFHX3	463
BARX2	8538
HHEX	3087
HOXA10	3206
CERS3	204219
HOXB13	10481
IRX6	79190
ISL2	64843
PKNOX1	5316
LHX8	431707
EN1	2019
NKX6-1	4825
HESX1	8820
TLX3	30012
EN2	2020
GBX1	2636
HDX	139324
PHOX2A	401
PKNOX2	63876
GBX2	2637
HOXD4	3233
OTP	23440
PITX2	5308
GSX1	219409
SIX2	10736
IRX1	79192
HOXC4	3221
HOXC10	3226
HOXC5	3222
HOXB9	3219
PROP1	5626
EVX2	344191
UNCX	340260
ZHX2	22882
ALX1	8092
HOXD8	3234
SIX5	147912
TGIF2LY	90655
GSX2	170825
NKX2-6	137814
MEOX1	4222
CERS5	91012
NKX2-5	1482
TGIF1	7050
SIX6	4990
HOXD1	3231
HOXB4	3214
DBX2	440097
IRX3	79191
HOXB2	3212
ALX4	60529
RAX	30062
ARGFX	503582
LMX1A	4009
HMX2	3167
NKX2-3	159296
HOXA1	3198
HOXA9	3205
BSX	390259
NKX2-4	644524
NKX2-1	7080
LMX1B	4010
HMX3	340784
HOXA4	3201
DLX1	1745
TGIF2LX	90316
HOXB1	3211
HLX	3142
LHX9	56956
VENTX	27287
NKX6-2	84504
VAX1	11023
ALX3	257
PITX3	5309
LBX1	10660
TLX1	3195
BARHL2	343472
RHOXF2	84528
RHOXF2B	727940
ADNP	23394
LHX3	8022
DMBX1	127343
PRRX2	51450
ESX1	80712
PBX3	5090
CDX4	1046
TGIF2	60436
PBX2	5089
DPRX	503834
VSX1	30813
NKX2-2	4821
LBX2	85474
ARX	170302
NKX3-1	4824
CDX2	1045
PDX1	3651
NKX3-2	579
IRX2	153572
MSX1	4487
SHOX2	6474
HOXD13	3239
CERS6	253782
LHX6	26468
IRX5	10265
ZHX1	11244
HOXA3	3200
LEUTX	342900
NOTO	344022
HMX1	3166
MEIS1	4211
HOXD12	3238
ISX	91464
DUX4L2	728410
DLX3	1747
LHX2	9355
DRGX	644168
PBX1	5087
ZFHX2	85446
HOXB3	3213
EVX1	2128
NOBOX	135935
HOXB6	3216
HOXC9	3225
HOXD3	3232
NKX6-3	157848
DLX6	1750
HMBOX1	79618
ZFHX4	79776
DUX4L4	441056
TPRX1	284355
ANHX	647589
MIXL1	83881
HNF1A	6927
ZHX3	23051
RAX2	84839
NKX1-2	390010
EMX2	2018
DUX4L6	653544
DUX4L1	22947
DUX4L7	653543
DUX4L3	653548
DUX4L5	653545
SHOX	6473
DUXA	503835
MEIS2	4212
MEIS3	56917
HOMEZ	57594
SEBOX	645832
PROX1	5629
PROX2	283571
HSFY1	86614
HSFY2	159119
HSF5	124535
HSF2	3298
HSFX1	100506164
HSF4	3299
HSFX2	100130086
HSF1	3297
LCOR	84458
LCORL	254251
IRF1	3659
IRF8	3394
IRF7	3665
IRF5	3663
IRF6	3664
IRF4	3662
IRF2	3660
IRF9	10379
IRF3	3661
MBD4	8930
MBD2	8932
SETDB1	9869
SETDB2	83852
BAZ2B	29994
MECP2	4204
MBD1	4152
MBD3	53615
BAZ2A	11176
SMAD7	4092
SMAD2	4087
SMAD6	4091
SMAD1	4086
SMAD3	4088
SMAD4	4089
SMAD9	4093
SMAD5	4090
NR0B2	8431
NR0B1	190
MYBL2	4605
SMARCC1	6599
TERF2	7014
RCOR1	23186
NCOR1	9611
TERF1	7013
SNAPC4	6621
RCOR2	283248
TADA2B	93624
DMTF1	9988
TTF1	7270
MYB	4602
NCOR2	9612
ZZZ3	26009
CDC5L	988
DNAJC1	64215
DNAJC2	27000
TADA2A	6871
RCOR3	55758
MYSM1	114803
MYBL1	4603
SMARCC2	6601
TERB1	283847
GLMP	112770
MYRF	745
NR4A3	8013
NR4A1	3164
NR4A2	4929
NFYA	4800
NFYB	4801
NFYC	4802
NRF1	4899
GCFC2	6936
NME2	4831
BCLAF1	9774
RFXANK	8625
MLLT10	8028
IKZF5	64376
LZTR1	8216
HIF1A	3091
ADNP2	22850
CAPN15	6650
GABPB1	2553
MYEF2	50804
CREBL2	1389
TBP	6908
CEBPZ	10153
EPAS1	2034
ASH1L	55870
GON4L	54856
BLZF1	8548
HMGN3	9324
HOXC11	3227
HIF3A	64344
SLC2A4RG	56731
DACH2	117154
YEATS4	8089
MLLT1	4298
NPAS1	4861
CASZ1	54897
DPF2	5977
TCF19	6941
PREB	10113
CARF	79800
TCF25	22980
MAEL	84944
PARP1	142
TMF1	7110
PURB	5814
CIZ1	25792
ANKRD30A	91074
MKX	283078
NOCT	25819
ZFP36L2	678
MIER3	166968
PAXBP1	94104
SIM2	6493
FUBP1	8880
SPZ1	84654
DACH1	1602
GATAD2A	54815
BNC1	646
CNBP	7555
NFRKB	4798
NPAS4	266743
TSHZ2	128553
PURA	5813
ZFP36L1	677
NKRF	55922
MIER1	57708
TP63	8626
TP53	7157
TP73	7161
PAX4	5078
PAX5	5079
PAX9	5083
PAX2	5076
PAX7	5081
PAX6	5080
PAX3	5077
PAX1	5075
PAX8	7849
SUB1	10923
POU4F3	5459
POU5F1	5460
POU2F3	25833
POU4F2	5458
POU3F2	5454
